Percentage_loss,Class
37.411705,Biomass
27.878893,Yield
35.83463,Biomass
38.09604,Yield
37.58846,Yield
32.84835,Plant growth
36.01751,Biomass
33.543556,Biomass
33.65642,Biomass
35.37383,Yield
36.798878,Yield
22.421106,Biomass
33.25185,Biomass
37.573776,Biomass
37.76814,Biomass
34.769855,Biomass
34.685535,Plant growth
33.943184,Biomass
34.571804,Biomass
42.26311,Biomass
34.096043,Biomass
35.363766,Yield
37.588875,Yield
35.757446,Biomass
42.151974,Biomass
37.107533,Yield
32.223763,Biomass
35.34326,Yield
37.71344,Yield
35.806717,Yield
35.70723,Plant growth
37.128742,Yield
32.399185,Biomass
39.589294,Yield
33.261414,Biomass
34.1057,Biomass
35.96772,Plant growth
37.63721,Biomass
33.94001,Biomass
34.646477,Plant growth
36.022377,Biomass
38.266735,Yield
36.552914,Biomass
39.590492,Yield
34.163048,Biomass
37.601887,Yield
29.934887,Biomass
38.29534,Biomass
34.25529,Biomass
34.264503,Biomass
34.269783,Biomass
37.769497,Yield
34.75296,Biomass
35.36934,Yield
33.514107,Biomass
38.51042,Yield
35.911858,Biomass
30.028576,Biomass
36.030384,Yield
38.894913,Biomass
46.890224,Yield
36.54414,Biomass
40.46325,Plant growth
33.973156,Biomass
33.878117,Biomass
35.951275,Biomass
35.36531,Yield
36.030605,Plant growth
40.63374,Yield
31.0731,Plant growth
34.135235,Biomass
35.314533,Yield
37.57399,Biomass
51.200615,Plant growth
35.574253,Yield
29.697344,Plant growth
40.696537,Yield
35.23484,Biomass
33.260963,Plant growth
36.587566,Yield
31.37627,Plant growth
39.50964,Plant growth
37.06091,Biomass
35.224716,Plant growth
37.744164,Yield
36.94633,Yield
37.607773,Yield
28.639465,Biomass
37.448727,Biomass
36.030384,Yield
34.781776,Biomass
37.624172,Yield
34.10901,Biomass
34.68781,Plant growth
39.646538,Yield
36.35107,Biomass
35.363766,Yield
34.55784,Yield
37.189972,Yield
34.64369,Plant growth
37.98686,Biomass
30.602037,Plant growth
32.295494,Biomass
36.674652,Yield
30.769793,Biomass
39.07764,Biomass
36.927265,Yield
35.299747,Biomass
37.555954,Biomass
30.868229,Plant growth
30.565304,Plant growth
38.842667,Biomass
37.55551,Biomass
31.271318,Biomass
32.399185,Biomass
32.74573,Biomass
39.58309,Yield
40.150265,Plant growth
41.101845,Yield
35.317856,Yield
34.453735,Plant growth
31.854311,Biomass
37.100677,Yield
33.886,Biomass
31.367647,Biomass
33.925026,Biomass
41.881454,Yield
36.674652,Yield
37.18292,Biomass
37.193897,Yield
36.923496,Plant growth
33.909122,Biomass
28.765959,Biomass
30.261076,Biomass
37.173565,Biomass
37.849743,Biomass
37.551643,Biomass
37.91553,Yield
37.986393,Biomass
41.101357,Yield
37.385117,Yield
40.46325,Plant growth
33.7879,Biomass
31.799576,Biomass
36.421318,Biomass
36.88293,Yield
33.94001,Biomass
36.714,Plant growth
37.251892,Biomass
39.546803,Yield
35.43914,Yield
34.601234,Yield
37.377743,Yield
37.711292,Yield
34.24738,Biomass
35.108574,Yield
34.84818,Biomass
35.249897,Biomass
34.236984,Biomass
55.501114,Biomass
36.587566,Yield
34.290672,Biomass
37.583527,Yield
34.088688,Biomass
36.741493,Yield
35.99291,Biomass
33.92475,Biomass
35.34853,Yield
36.11409,Yield
37.59468,Biomass
34.040173,Biomass
38.078968,Biomass
34.165012,Biomass
33.543556,Biomass
30.197971,Biomass
31.495747,Plant growth
37.607773,Yield
36.72223,Yield
37.424107,Yield
37.721924,Yield
34.18734,Biomass
37.57784,Biomass
34.807518,Biomass
31.908035,Plant growth
39.591663,Yield
36.79674,Plant growth
35.87059,Yield
40.492683,Plant growth
54.335022,Yield
34.140053,Biomass
37.562176,Biomass
37.7249,Biomass
41.38403,Yield
39.67413,Yield
36.630608,Biomass
35.242424,Yield
36.374767,Biomass
34.185345,Biomass
32.203297,Biomass
53.805374,Yield
39.725723,Yield
37.18292,Biomass
37.377743,Yield
42.288242,Biomass
35.314457,Yield
33.909122,Biomass
37.221874,Yield
34.803463,Biomass
43.52097,Plant growth
37.574833,Yield
33.925026,Biomass
31.033457,Plant growth
34.206036,Plant growth
36.916912,Biomass
37.57502,Yield
31.39236,Biomass
35.36623,Yield
35.321175,Yield
36.941483,Yield
37.186535,Yield
35.314457,Yield
37.769497,Yield
36.074493,Biomass
38.093483,Yield
37.31146,Biomass
36.741493,Yield
38.09604,Yield
36.636578,Yield
38.09001,Yield
32.399185,Biomass
35.31421,Yield
34.79292,Biomass
36.625893,Yield
37.605022,Biomass
34.782345,Biomass
34.792793,Plant growth
37.281563,Biomass
37.58687,Biomass
33.75174,Biomass
36.02489,Yield
36.94633,Yield
35.12669,Biomass
37.59227,Biomass
36.067448,Biomass
35.093296,Yield
36.052933,Yield
37.610073,Yield
34.68624,Plant growth
38.952972,Plant growth
36.080963,Biomass
35.320206,Yield
34.648163,Plant growth
37.987526,Biomass
39.285404,Yield
30.954367,Plant growth
38.670456,Biomass
41.101357,Yield
33.14968,Biomass
36.94633,Yield
37.559822,Yield
38.329567,Plant growth
38.81452,Yield
31.832386,Biomass
33.13733,Biomass
35.127018,Biomass
36.741493,Yield
31.291908,Plant growth
